artifact	column	position
raw	PVP01_0113600	236
raw	PVP01_0113700	237
raw	PVP01_0113800	238
raw	PVP01_0113900	239
raw	PVP01_0114000	240
raw	PVP01_0114100	241
raw	PVP01_0114200	242
raw	PVP01_0114300	243
raw	PVP01_0114400	244
raw	PVP01_0114600	245
raw	PVP01_0114700	246
raw	PVP01_0114800	247
raw	PVP01_0114900	248
raw	PVP01_0115000	249
raw	PVP01_0115300	250
raw	PVP01_0115400	251
raw	PVP01_0115500	252
raw	PVP01_0115600	253
raw	PVP01_0115700	254
raw	PVP01_0115900	255
raw	PVP01_0116000	256
raw	PVP01_0116100	257
raw	PVP01_0116200	258
raw	PVP01_0116300	259
raw	PVP01_0116500	260
raw	PVP01_0116600	261
raw	PVP01_0116800	262
raw	PVP01_0116900	263
raw	PVP01_0117000	264
raw	PVP01_0117100	265
raw	PVP01_0117200	266
raw	PVP01_0117300	267
raw	PVP01_0117400	268
raw	PVP01_0117500	269
raw	PVP01_0117600	270
raw	PVP01_0117700	271
raw	PVP01_0117800	272
raw	PVP01_0117900	273
raw	PVP01_0118000	274
raw	PVP01_0118100	275
raw	PVP01_0118300	276
raw	PVP01_0118400	277
raw	PVP01_0118500	278
raw	PVP01_0118600	279
raw	PVP01_0118800	280
raw	PVP01_0119400	281
raw	PVP01_0119500	282
raw	PVP01_1002400	283
raw	PVP01_1002500	284
raw	PVP01_1002700	285
raw	PVP01_1002800	286
raw	PVP01_1002900	287
raw	PVP01_1003000	288
raw	PVP01_1003100	289
raw	PVP01_1003200	290
raw	PVP01_1003300	291
raw	PVP01_1003400	292
raw	PVP01_1003600	293
raw	PVP01_1003700	294
raw	PVP01_1003800	295
raw	PVP01_1003900	296
raw	PVP01_1004000	297
raw	PVP01_1004400	298
raw	PVP01_1004500	299
raw	PVP01_1004800	300
raw	PVP01_1005200	301
raw	PVP01_1005400	302
raw	PVP01_1005500	303
raw	PVP01_1005600	304
raw	PVP01_1005700	305
raw	PVP01_1006100	306
raw	PVP01_1006200	307
raw	PVP01_1006300	308
raw	PVP01_1006400	309
raw	PVP01_1006500	310
raw	PVP01_1006600	311
raw	PVP01_1006700	312
raw	PVP01_1006800	313
raw	PVP01_1006900	314
raw	PVP01_1007100	315
raw	PVP01_1007300	316
raw	PVP01_1007400	317
raw	PVP01_1007500	318
raw	PVP01_1007600	319
raw	PVP01_1007700	320
raw	PVP01_1007800	321
raw	PVP01_1007900	322
raw	PVP01_1008000	323
raw	PVP01_1008100	324
raw	PVP01_1008200	325
raw	PVP01_1008500	326
raw	PVP01_1008600	327
raw	PVP01_1008700	328
raw	PVP01_1008800	329
raw	PVP01_1008900	330
raw	PVP01_1009000	331
raw	PVP01_1009100	332
raw	PVP01_1009200	333
raw	PVP01_1009300	334
raw	PVP01_1009400	335
raw	PVP01_1009500	336
raw	PVP01_1009600	337
raw	PVP01_1009700	338
raw	PVP01_1009900	339
raw	PVP01_1010000	340
raw	PVP01_1010100	341
raw	PVP01_1010400	342
raw	PVP01_1010500	343
raw	PVP01_1010600	344
raw	PVP01_1010900	345
raw	PVP01_1011000	346
raw	PVP01_1011100	347
raw	PVP01_1011200	348
raw	PVP01_1011300	349
raw	PVP01_1011400	350
raw	PVP01_1011500	351
raw	PVP01_1011600	352
raw	PVP01_1011700	353
raw	PVP01_1011800	354
raw	PVP01_1011900	355
raw	PVP01_1012000	356
raw	PVP01_1012100	357
raw	PVP01_1012500	358
raw	PVP01_1012600	359
raw	PVP01_1012700	360
raw	PVP01_1012800	361
raw	PVP01_1012900	362
raw	PVP01_1013000	363
raw	PVP01_1013100	364
raw	PVP01_1013200	365
raw	PVP01_1013300	366
raw	PVP01_1013400	367
raw	PVP01_1013700	368
raw	PVP01_1013800	369
raw	PVP01_1014000	370
raw	PVP01_1014100	371
raw	PVP01_1014200	372
raw	PVP01_1014300	373
raw	PVP01_1014400	374
raw	PVP01_1014500	375
raw	PVP01_1014600	376
raw	PVP01_1014700	377
raw	PVP01_1014800	378
raw	PVP01_1014900	379
raw	PVP01_1015000	380
raw	PVP01_1015100	381
raw	PVP01_1015200	382
raw	PVP01_1015300	383
raw	PVP01_1015400	384
raw	PVP01_1015500	385
raw	PVP01_1015600	386
raw	PVP01_1015700	387
