source_feature_id	seurat_feature_id	total_umi	annotated_rrna_removed	retained_in_source_object
PVP01_0008590	PVP01-0008590	0	FALSE	FALSE
PVP01_0008600	PVP01-0008600	0	FALSE	FALSE
PVP01_0008610	PVP01-0008610	0	FALSE	FALSE
PVP01_0007360	PVP01-0007360	0	FALSE	FALSE
PVP01_0007370	PVP01-0007370	0	FALSE	FALSE
PVP01_0007380	PVP01-0007380	0	FALSE	FALSE
PVP01_0007390	PVP01-0007390	0	FALSE	FALSE
PVP01_0007400	PVP01-0007400	0	FALSE	FALSE
PVP01_0007410	PVP01-0007410	1	FALSE	TRUE
PVP01_0007420	PVP01-0007420	0	FALSE	FALSE
PVP01_0007430	PVP01-0007430	0	FALSE	FALSE
PVP01_0007440	PVP01-0007440	0	FALSE	FALSE
PVP01_0007450	PVP01-0007450	0	FALSE	FALSE
PVP01_0007460	PVP01-0007460	0	FALSE	FALSE
PVP01_0007470	PVP01-0007470	0	FALSE	FALSE
PVP01_0009230	PVP01-0009230	0	FALSE	FALSE
PVP01_0009240	PVP01-0009240	0	FALSE	FALSE
PVP01_0009250	PVP01-0009250	0	FALSE	FALSE
PVP01_0009260	PVP01-0009260	2	FALSE	TRUE
PVP01_0009270	PVP01-0009270	0	FALSE	FALSE
PVP01_0009280	PVP01-0009280	3	FALSE	TRUE
PVP01_0009740	PVP01-0009740	251	FALSE	TRUE
PVP01_0010340	PVP01-0010340	21	FALSE	TRUE
PVP01_0010300	PVP01-0010300	0	FALSE	FALSE
PVP01_0010100	PVP01-0010100	0	FALSE	FALSE
PVP01_0010110	PVP01-0010110	0	FALSE	FALSE
PVP01_0010860	PVP01-0010860	0	FALSE	FALSE
PVP01_0010060	PVP01-0010060	0	FALSE	FALSE
PVP01_0010070	PVP01-0010070	0	FALSE	FALSE
PVP01_0010600	PVP01-0010600	0	FALSE	FALSE
PVP01_0008370	PVP01-0008370	1	FALSE	TRUE
PVP01_0008380	PVP01-0008380	0	FALSE	FALSE
PVP01_0008390	PVP01-0008390	0	FALSE	FALSE
PVP01_0008400	PVP01-0008400	0	FALSE	FALSE
PVP01_0008410	PVP01-0008410	0	FALSE	FALSE
PVP01_0008420	PVP01-0008420	0	FALSE	FALSE
PVP01_0008430	PVP01-0008430	0	FALSE	FALSE
PVP01_0008440	PVP01-0008440	0	FALSE	FALSE
PVP01_0010540	PVP01-0010540	1	FALSE	TRUE
PVP01_0010620	PVP01-0010620	0	FALSE	FALSE
PVP01_0010360	PVP01-0010360	0	FALSE	FALSE
PVP01_0010370	PVP01-0010370	1	FALSE	TRUE
PVP01_0010770	PVP01-0010770	0	FALSE	FALSE
PVP01_0010040	PVP01-0010040	0	FALSE	FALSE
PVP01_0010050	PVP01-0010050	0	FALSE	FALSE
PVP01_0010410	PVP01-0010410	0	FALSE	FALSE
PVP01_0010420	PVP01-0010420	0	FALSE	FALSE
PVP01_0006120	PVP01-0006120	0	FALSE	FALSE
PVP01_0006130	PVP01-0006130	0	FALSE	FALSE
PVP01_0006140	PVP01-0006140	0	FALSE	FALSE
PVP01_0006150	PVP01-0006150	0	FALSE	FALSE
PVP01_0006160	PVP01-0006160	0	FALSE	FALSE
PVP01_0006170	PVP01-0006170	0	FALSE	FALSE
PVP01_0006180	PVP01-0006180	0	FALSE	FALSE
PVP01_0006190	PVP01-0006190	0	FALSE	FALSE
PVP01_0006200	PVP01-0006200	0	FALSE	FALSE
PVP01_0006210	PVP01-0006210	0	FALSE	FALSE
PVP01_0006220	PVP01-0006220	0	FALSE	FALSE
PVP01_0006230	PVP01-0006230	0	FALSE	FALSE
PVP01_0006240	PVP01-0006240	0	FALSE	FALSE
PVP01_0006250	PVP01-0006250	0	FALSE	FALSE
PVP01_0006260	PVP01-0006260	0	FALSE	FALSE
PVP01_0006270	PVP01-0006270	1	FALSE	TRUE
PVP01_0006280	PVP01-0006280	0	FALSE	FALSE
PVP01_0006290	PVP01-0006290	1	FALSE	TRUE
PVP01_0006300	PVP01-0006300	0	FALSE	FALSE
PVP01_0006310	PVP01-0006310	0	FALSE	FALSE
PVP01_0006320	PVP01-0006320	0	FALSE	FALSE
PVP01_0006330	PVP01-0006330	0	FALSE	FALSE
PVP01_0010760	PVP01-0010760	0	FALSE	FALSE
PVP01_0008200	PVP01-0008200	0	FALSE	FALSE
PVP01_0008210	PVP01-0008210	0	FALSE	FALSE
PVP01_0008220	PVP01-0008220	0	FALSE	FALSE
PVP01_0008230	PVP01-0008230	0	FALSE	FALSE
PVP01_0008240	PVP01-0008240	0	FALSE	FALSE
PVP01_0008250	PVP01-0008250	0	FALSE	FALSE
PVP01_0008260	PVP01-0008260	0	FALSE	FALSE
PVP01_0008270	PVP01-0008270	0	FALSE	FALSE
PVP01_0002050	PVP01-0002050	384	FALSE	TRUE
PVP01_0002060	PVP01-0002060	0	FALSE	FALSE
PVP01_0002070	PVP01-0002070	0	FALSE	FALSE
PVP01_0002080	PVP01-0002080	7	FALSE	TRUE
PVP01_0002090	PVP01-0002090	0	FALSE	FALSE
PVP01_0002100	PVP01-0002100	26	FALSE	TRUE
PVP01_0002110	PVP01-0002110	0	FALSE	FALSE
PVP01_0002120	PVP01-0002120	0	FALSE	FALSE
PVP01_0002130	PVP01-0002130	0	FALSE	FALSE
PVP01_0002140	PVP01-0002140	2	FALSE	TRUE
PVP01_0002150	PVP01-0002150	0	FALSE	FALSE
PVP01_0002160	PVP01-0002160	0	FALSE	FALSE
PVP01_0002170	PVP01-0002170	1	FALSE	TRUE
PVP01_0002180	PVP01-0002180	0	FALSE	FALSE
PVP01_0002190	PVP01-0002190	0	FALSE	FALSE
PVP01_0002200	PVP01-0002200	0	FALSE	FALSE
PVP01_0002210	PVP01-0002210	3	FALSE	TRUE
PVP01_0002220	PVP01-0002220	1	FALSE	TRUE
PVP01_0002230	PVP01-0002230	0	FALSE	FALSE
PVP01_0002240	PVP01-0002240	2	FALSE	TRUE
PVP01_0002250	PVP01-0002250	0	FALSE	FALSE
PVP01_0002260	PVP01-0002260	0	FALSE	FALSE
PVP01_0002270	PVP01-0002270	0	FALSE	FALSE
PVP01_0002280	PVP01-0002280	0	FALSE	FALSE
PVP01_0002290	PVP01-0002290	0	FALSE	FALSE
PVP01_0002300	PVP01-0002300	0	FALSE	FALSE
PVP01_0002310	PVP01-0002310	0	FALSE	FALSE
PVP01_0002320	PVP01-0002320	0	FALSE	FALSE
PVP01_0002330	PVP01-0002330	1	FALSE	TRUE
PVP01_0002340	PVP01-0002340	0	FALSE	FALSE
PVP01_0002350	PVP01-0002350	1	FALSE	TRUE
PVP01_0002360	PVP01-0002360	0	FALSE	FALSE
PVP01_0002370	PVP01-0002370	0	FALSE	FALSE
PVP01_0002380	PVP01-0002380	0	FALSE	FALSE
PVP01_0002390	PVP01-0002390	0	FALSE	FALSE
PVP01_0002400	PVP01-0002400	0	FALSE	FALSE
PVP01_0011020	PVP01-0011020	0	FALSE	FALSE
PVP01_0010450	PVP01-0010450	0	FALSE	FALSE
PVP01_0010480	PVP01-0010480	0	FALSE	FALSE
