PMID	title	DOI	PMC	dates
32365102	Single-cell transcription analysis of Plasmodium vivax blood-stage parasites identifies stage- and species-specific profiles of expression.	10.1371/journal.pbio.3000711	PMC7224573	Electronic:2020-05-04;received:2019-6-27;accepted:2020-4-15;revised:2020-5-14;pubmed:2020-5-5;medline:2020-7-21;entrez:2020-5-5;pmc-release:2020-5-4
36093191	Single-cell RNA profiling of Plasmodium vivax-infected hepatocytes reveals parasite- and host- specific transcriptomic signatures and therapeutic targets.	10.3389/fcimb.2022.986314	PMC9453201	Electronic:2022-08-25;received:2022-7-4;accepted:2022-8-8;entrez:2022-9-12;pubmed:2022-9-13;medline:2022-9-14;pmc-release:2022-1-1
35926062	Single-cell RNA sequencing of Plasmodium vivax sporozoites reveals stage- and species-specific transcriptomic signatures.	10.1371/journal.pntd.0010633	PMC9380936	Electronic:2022-08-04;received:2021-12-18;accepted:2022-7-4;revised:2022-8-16;pubmed:2022-8-5;medline:2022-8-19;entrez:2022-8-4;pmc-release:2022-8-4
36525464	Long read single cell RNA sequencing reveals the isoform diversity of Plasmodium vivax transcripts.	10.1371/journal.pntd.0010991	PMC9803293	Electronic:2022-12-16;received:2022-7-22;accepted:2022-11-28;revised:2022-12-30;pubmed:2022-12-17;medline:2023-1-4;entrez:2022-12-16;pmc-release:2022-12-16
39223117	Single-cell analyses of polyclonal Plasmodium vivax infections and their consequences on parasite transmission.	10.1038/s41467-024-51949-8	PMC11369214	Electronic:2024-09-02;received:2024-2-2;accepted:2024-8-20;medline:2024-9-3;pubmed:2024-9-3;entrez:2024-9-2;pmc-release:2024-9-2
