kind	filename	url	archive	member	bytes	sha256
download	GSE197409_Postcapture_Infection1.tar.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197409/suppl/GSE197409_Postcapture_Infection1.tar.gz	GSE197409_Postcapture_Infection1.tar.gz		23722939	53a175d54ad6c1c2f20387e027f6e2ddc19309984bab73f85de065a0be518904
archive_member	Postcapture_data_Infection1_counts.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197409/suppl/GSE197409_Postcapture_Infection1.tar.gz	GSE197409_Postcapture_Infection1.tar.gz	Postcapture_data_Infection1_counts.mtx.gz	22105393	112d9145852a2999a7ef60b5b7c9a89f18e4d4fbc0d6590818674fa025d0754b
download	GSE197409_Postcapture_merged_Infection2_corrected.tar.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197409/suppl/GSE197409_Postcapture_merged_Infection2_corrected.tar.gz	GSE197409_Postcapture_merged_Infection2_corrected.tar.gz		495872652	42d66d554be89c3a055bf300222f6d7165969d36dbd02682d12b1fe659f10e10
archive_member	Postcapture_merged_Infection2_counts.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197409/suppl/GSE197409_Postcapture_merged_Infection2_corrected.tar.gz	GSE197409_Postcapture_merged_Infection2_corrected.tar.gz	Postcapture_merged_Infection2_counts.mtx.gz	493678919	8940ef07fbcfc664aff53678019522109eedd342e1a9bca687a3bf188d64ee43
download	GSE197409_Precapture_Infection2.tar.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197409/suppl/GSE197409_Precapture_Infection2.tar.gz	GSE197409_Precapture_Infection2.tar.gz		806072929	9e06ffd41eeb332eed57be4c6d0a4748473f68c48cfc6058ef4c373f2a5f6e68
archive_member	Precapture_Infection2_counts.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197409/suppl/GSE197409_Precapture_Infection2.tar.gz	GSE197409_Precapture_Infection2.tar.gz	Precapture_Infection2_counts.mtx.gz	802956259	a7b93541aa7af844365120b352036db9ec397f4268c2d008b6f6dbdec633a446
