study_label	sample_type	parasite_stage	life_cycle_stage	hour_post_invasion	cells
Ruberto2022_1	Infected host hepatocytes	Liver stage	Hypnozoite	36	736
Ruberto2022_1	Infected host hepatocytes	Liver stage	Hypnozoite	42	23
Ruberto2022_1	Infected host hepatocytes	Liver stage	Hypnozoite	48	16
Ruberto2022_1	Infected host hepatocytes	Liver stage	Hypnozoite	6	30
Ruberto2022_1	Infected host hepatocytes	Liver stage	Schizont (Liver stage)	12	2
Ruberto2022_1	Infected host hepatocytes	Liver stage	Schizont (Liver stage)	24	85
Ruberto2022_1	Infected host hepatocytes	Liver stage	Schizont (Liver stage)	32	12
Ruberto2022_1	Infected host hepatocytes	Liver stage	Schizont (Liver stage)	36	189
Ruberto2022_1	Infected host hepatocytes	Liver stage	Schizont (Liver stage)	42	1
Ruberto2022_1	Infected host hepatocytes	Liver stage	Schizont (Liver stage)	6	2
Ruberto2022_2	Vector salivary gland	Sporozoite stage	Sporozoite	12	98
Ruberto2022_2	Vector salivary gland	Sporozoite stage	Sporozoite	24	191
Ruberto2022_2	Vector salivary gland	Sporozoite stage	Sporozoite	32	215
Ruberto2022_2	Vector salivary gland	Sporozoite stage	Sporozoite	36	3886
Ruberto2022_2	Vector salivary gland	Sporozoite stage	Sporozoite	42	1730
Ruberto2022_2	Vector salivary gland	Sporozoite stage	Sporozoite	48	3390
Ruberto2022_2	Vector salivary gland	Sporozoite stage	Sporozoite	6	437
Sa2020	Host blood	Blood stage	Female gametocyte	12	6
Sa2020	Host blood	Blood stage	Female gametocyte	24	54
Sa2020	Host blood	Blood stage	Female gametocyte	32	89
Sa2020	Host blood	Blood stage	Female gametocyte	36	1063
Sa2020	Host blood	Blood stage	Female gametocyte	42	118
Sa2020	Host blood	Blood stage	Female gametocyte	48	117
Sa2020	Host blood	Blood stage	Female gametocyte	6	23
Sa2020	Host blood	Blood stage	Male gametocyte	12	6
Sa2020	Host blood	Blood stage	Male gametocyte	24	12
Sa2020	Host blood	Blood stage	Male gametocyte	32	24
Sa2020	Host blood	Blood stage	Male gametocyte	36	86
Sa2020	Host blood	Blood stage	Male gametocyte	42	55
Sa2020	Host blood	Blood stage	Male gametocyte	48	18
Sa2020	Host blood	Blood stage	Male gametocyte	6	10
Sa2020	Host blood	Blood stage	Merozoite	48	222
Sa2020	Host blood	Blood stage	Ring	12	326
Sa2020	Host blood	Blood stage	Ring	6	123
Sa2020	Host blood	Blood stage	Schizont (Blood stage)	32	1325
Sa2020	Host blood	Blood stage	Schizont (Blood stage)	36	3362
Sa2020	Host blood	Blood stage	Schizont (Blood stage)	42	922
Sa2020	Host blood	Blood stage	Trophozoite	24	1805
