run_id	host_id	strain	day_post_infection	hour_post_invasion	life_cycle_stage	pred_gametocyte	cells
SRR27021993	5709_1	NIH1993-F3	17	24	Trophozoite	Asexual 1	6185
SRR27021993	5709_1	NIH1993-F3	17	24	Trophozoite	Asexual 2	41
SRR27021993	5709_1	NIH1993-F3	17	24	Trophozoite	Asexual 3	1
SRR27021993	5709_1	NIH1993-F3	17	24	Trophozoite	Asexual 4	10
SRR27021993	5709_1	NIH1993-F3	17	24	Trophozoite	Asexual 5	4
SRR27021993	5709_1	NIH1993-F3	17	24	Trophozoite	Asexual 9	1
SRR27021993	5709_1	NIH1993-F3	17	32	Female gametocyte	Female gametocyte	158
SRR27021993	5709_1	NIH1993-F3	17	32	Schizont (Blood stage)	Asexual 1	1883
SRR27021993	5709_1	NIH1993-F3	17	32	Schizont (Blood stage)	Asexual 2	30
SRR27021993	5709_1	NIH1993-F3	17	32	Schizont (Blood stage)	Asexual 3	1
SRR27021993	5709_1	NIH1993-F3	17	32	Schizont (Blood stage)	Asexual 4	12
SRR27021993	5709_1	NIH1993-F3	17	32	Schizont (Blood stage)	Asexual 5	6
SRR27021993	5709_1	NIH1993-F3	17	36	Female gametocyte	Female gametocyte	491
SRR27021993	5709_1	NIH1993-F3	17	36	Schizont (Blood stage)	Asexual 1	1378
SRR27021993	5709_1	NIH1993-F3	17	36	Schizont (Blood stage)	Asexual 2	134
SRR27021993	5709_1	NIH1993-F3	17	36	Schizont (Blood stage)	Asexual 3	6
SRR27021993	5709_1	NIH1993-F3	17	36	Schizont (Blood stage)	Asexual 4	25
SRR27021993	5709_1	NIH1993-F3	17	36	Schizont (Blood stage)	Asexual 5	1
SRR27021993	5709_1	NIH1993-F3	17	42	Female gametocyte	Female gametocyte	115
SRR27021993	5709_1	NIH1993-F3	17	42	Schizont (Blood stage)	Asexual 1	473
SRR27021993	5709_1	NIH1993-F3	17	42	Schizont (Blood stage)	Asexual 2	8
SRR27021993	5709_1	NIH1993-F3	17	42	Schizont (Blood stage)	Asexual 3	180
SRR27021993	5709_1	NIH1993-F3	17	42	Schizont (Blood stage)	Asexual 4	2
SRR27021993	5709_1	NIH1993-F3	17	42	Schizont (Blood stage)	Asexual 5	2
SRR27021993	5709_1	NIH1993-F3	17	48	Female gametocyte	Female gametocyte	180
SRR27021993	5709_1	NIH1993-F3	17	48	Merozoite	Asexual 1	354
SRR27021993	5709_1	NIH1993-F3	17	48	Merozoite	Asexual 3	79
SRR27021993	5709_1	NIH1993-F3	17	48	Merozoite	Asexual 4	5
SRR27021993	5709_1	NIH1993-F3	17	6	Female gametocyte	Female gametocyte	292
SRR27021993	5709_1	NIH1993-F3	17	6	Ring	Asexual 1	1414
SRR27021993	5709_1	NIH1993-F3	17	6	Ring	Asexual 2	1
SRR27021993	5709_1	NIH1993-F3	17	6	Ring	Asexual 3	1
SRR27021993	5709_1	NIH1993-F3	17	6	Ring	Asexual 4	2
SRR27021993	5709_1	NIH1993-F3	17	6	Ring	Asexual 5	5
SRR27021994	4881_1	Chesson	17	12	Female gametocyte	Female gametocyte	1
SRR27021994	4881_1	Chesson	17	12	Ring	Asexual 1	210
SRR27021994	4881_1	Chesson	17	24	Female gametocyte	Female gametocyte	2
SRR27021994	4881_1	Chesson	17	24	Trophozoite	Asexual 1	211
SRR27021994	4881_1	Chesson	17	24	Trophozoite	Asexual 2	8
SRR27021994	4881_1	Chesson	17	24	Trophozoite	Asexual 3	1
SRR27021994	4881_1	Chesson	17	32	Female gametocyte	Female gametocyte	3
SRR27021994	4881_1	Chesson	17	32	Schizont (Blood stage)	Asexual 1	22
SRR27021994	4881_1	Chesson	17	32	Schizont (Blood stage)	Asexual 2	16
SRR27021994	4881_1	Chesson	17	32	Schizont (Blood stage)	Asexual 4	3
SRR27021994	4881_1	Chesson	17	36	Female gametocyte	Female gametocyte	77
SRR27021994	4881_1	Chesson	17	36	Schizont (Blood stage)	Asexual 1	14
SRR27021994	4881_1	Chesson	17	36	Schizont (Blood stage)	Asexual 2	72
SRR27021994	4881_1	Chesson	17	36	Schizont (Blood stage)	Asexual 3	5
SRR27021994	4881_1	Chesson	17	36	Schizont (Blood stage)	Asexual 4	6
SRR27021994	4881_1	Chesson	17	42	Female gametocyte	Female gametocyte	18
SRR27021994	4881_1	Chesson	17	42	Schizont (Blood stage)	Asexual 1	9
SRR27021994	4881_1	Chesson	17	42	Schizont (Blood stage)	Asexual 2	3
SRR27021994	4881_1	Chesson	17	42	Schizont (Blood stage)	Asexual 3	49
SRR27021994	4881_1	Chesson	17	42	Schizont (Blood stage)	Asexual 4	2
SRR27021994	4881_1	Chesson	17	48	Female gametocyte	Female gametocyte	51
SRR27021994	4881_1	Chesson	17	48	Merozoite	Asexual 1	4
SRR27021994	4881_1	Chesson	17	48	Merozoite	Asexual 3	15
SRR27021994	4881_1	Chesson	17	48	Merozoite	Asexual 4	2
SRR27021994	4881_1	Chesson	17	6	Female gametocyte	Female gametocyte	16
SRR27021994	4881_1	Chesson	17	6	Ring	Asexual 1	58
SRR27021994	4881_1	Chesson	17	6	Ring	Asexual 3	1
SRR27021994	4881_1	Chesson	17	6	Ring	Asexual 4	2
