run_accession	experiment_accession	sample_accession	study_accession	secondary_study_accession	sample_alias	experiment_alias	instrument_model	library_strategy	library_source	library_selection	scientific_name
SRR27021967	SRX22714364	SAMN38578493	PRJNA1047651	SRP475376	Illumina_5370_2	Illumina_5370_2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021974	SRX22714357	SAMN38578487	PRJNA1047651	SRP475376	Illumina_5164_AS2	Illumina_5164_AS2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021976	SRX22714355	SAMN38578485	PRJNA1047651	SRP475376	Illumina_5164_1	Illumina_5164_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021987	SRX22714344	SAMN38578475	PRJNA1047651	SRP475376	Illumina_5537_1	Illumina_5537_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021957	SRX22714374	SAMN38578502	PRJNA1047651	SRP475376	WGS_NIH	WGS_NIH	Illumina NovaSeq 6000	WGS	GENOMIC	RANDOM	Plasmodium vivax
SRR27021961	SRX22714370	SAMN38578499	PRJNA1047651	SRP475376	Illumina_SPZ_5164_6_22_An_steph	Illumina_SPZ_5164_6_22_An_steph	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021975	SRX22714356	SAMN38578486	PRJNA1047651	SRP475376	Illumina_5164_2	Illumina_5164_2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021977	SRX22714354	SAMN38578484	PRJNA1047651	SRP475376	Illumina_5163_AS4	Illumina_5163_AS4	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021978	SRX22714353	SAMN38578483	PRJNA1047651	SRP475376	Illumina_5163_AS2	Illumina_5163_AS2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021982	SRX22714349	SAMN38578462	PRJNA1047651	SRP475376	Illumina_5708_2	Illumina_5708_2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021985	SRX22714346	SAMN38578477	PRJNA1047651	SRP475376	Illumina_5537_3	Illumina_5537_3	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021986	SRX22714345	SAMN38578476	PRJNA1047651	SRP475376	Illumina_5537_2	Illumina_5537_2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021988	SRX22714343	SAMN38578474	PRJNA1047651	SRP475376	Illumina_5142_AS3	Illumina_5142_AS3	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021956	SRX22714375	SAMN38578465	PRJNA1047651	SRP475376	Illumina_5309_1	Illumina_5309_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021958	SRX22714373	SAMN38578501	PRJNA1047651	SRP475376	WGS_Chesson	WGS_Chesson	Illumina NovaSeq 6000	WGS	GENOMIC	RANDOM	Plasmodium vivax
SRR27021959	SRX22714372	SAMN38578500	PRJNA1047651	SRP475376	Illumina_SPZ_5736_6_24_An_steph	Illumina_SPZ_5736_6_24_An_steph	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021979	SRX22714352	SAMN38578482	PRJNA1047651	SRP475376	Illumina_5163_AS1	Illumina_5163_AS1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021992	SRX22714339	SAMN38578470	PRJNA1047651	SRP475376	Illumina_5142_1	Illumina_5142_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
