run_accession	experiment_accession	sample_accession	sample_alias	sample_title	study_accession	instrument_model	library_strategy	library_source	library_selection	fastq_ftp	read_count
SRR19573613	SRX15625585	SAMN28771608	Hepatocyte_9dpi_control_1	Hep9dpi_ctrl_1	PRJNA843856	HiSeq X Ten	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/013/SRR19573613/SRR19573613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/013/SRR19573613/SRR19573613_2.fastq.gz	378761174
SRR19573610	SRX15625588	SAMN28771611	Pv_infected_hepatocyte_5dpi_rep2	InfHep5dpi_rep2	PRJNA843856	HiSeq X Ten	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/010/SRR19573610/SRR19573610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/010/SRR19573610/SRR19573610_2.fastq.gz	433820693
SRR19573609	SRX15625589	SAMN28771612	Pv_infected_hepatocyte_9dpi_rep2	InfHep9dpi_rep2	PRJNA843856	HiSeq X Ten	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/009/SRR19573609/SRR19573609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/009/SRR19573609/SRR19573609_2.fastq.gz	440660768
SRR19573611	SRX15625587	SAMN28771610	Pv_infected_hepatocyte_9dpi_rep1	InfHep9dpi_rep1	PRJNA843856	HiSeq X Ten	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/011/SRR19573611/SRR19573611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/011/SRR19573611/SRR19573611_2.fastq.gz	402658977
SRR19573612	SRX15625586	SAMN28771609	Pv_infected_hepatocyte_5dpi_rep1	InfHep5dpi_rep1	PRJNA843856	HiSeq X Ten	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/012/SRR19573612/SRR19573612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/012/SRR19573612/SRR19573612_2.fastq.gz	424172132
SRR19573614	SRX15625584	SAMN28771607	Hepatocyte_5dpi_control_1	Hep5dpi_ctrl_1	PRJNA843856	HiSeq X Ten	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/014/SRR19573614/SRR19573614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/014/SRR19573614/SRR19573614_2.fastq.gz	421777150
